ID_JUGADOR,NOMBRE,PARTIDOS_JUGADOS,MINUTOS_JUGADOS_PROMEDIO,PUNTOS_ANOTADOS_PROMEDIO,GOLES_PROMEDIO,TRIPLES_PROMEDIO,TIROS_LIBRES_ANOTADOS_PROMEDIO,REBOTES_OFENSIVOS_PROMEDIO,ASISTENCIAS_PROMEDIO,PELOTAS_RECUPERADAS_PROMEDIO,BLOQUEOS_PROMEDIO,PERDIDAS_PROMEDIO
ID_JUG_0001,Brandon Ingram,36.0,27.4,7.4,2.6,0.5,1.6,0.7,1.9,0.4,0.4,1.3
ID_JUG_0002,Andrew Harrison,35.0,26.9,7.2,2.0,0.7,2.6,0.5,3.7,1.1,0.5,1.6
ID_JUG_0003,JaKarr Sampson,74.0,15.3,5.2,2.0,0.4,0.9,0.5,1.0,0.5,0.3,1.0
ID_JUG_0004,Malik Sealy,58.0,11.6,5.7,2.3,0.1,0.9,1.0,0.8,0.6,0.1,1.0
ID_JUG_0005,Matt Geiger,48.0,11.5,4.5,1.6,0.0,1.3,1.0,0.3,0.3,0.4,0.8
ID_JUG_0006,Tony Bennett,75.0,11.4,3.7,1.5,0.3,0.4,0.2,1.8,0.4,0.0,0.7
ID_JUG_0007,Don MacLean,62.0,10.9,6.6,2.5,0.0,1.5,0.5,0.6,0.2,0.1,0.7
ID_JUG_0008,Tracy Murray,48.0,10.3,5.7,2.3,0.4,0.7,0.8,0.2,0.2,0.1,0.7
ID_JUG_0009,Duane Cooper,65.0,9.9,2.4,1.0,0.1,0.4,0.2,2.3,0.3,0.0,1.1
ID_JUG_0010,Dave Johnson,42.0,8.5,3.7,1.4,0.1,1.0,0.4,0.3,0.2,0.0,0.7
ID_JUG_0011,Corey Williams,35.0,6.9,2.3,0.9,0.0,0.5,0.5,0.7,0.1,0.1,0.3
ID_JUG_0012,Sam Mack,40.0,6.7,3.6,1.2,0.1,1.1,0.5,0.4,0.3,0.1,0.6
ID_JUG_0013,Lorenzo Williams,27.0,6.6,1.3,0.6,0.0,0.1,0.6,0.2,0.2,0.6,0.3
ID_JUG_0014,P.J. Hairston,45.0,15.3,5.6,1.9,1.1,0.7,0.5,0.5,0.5,0.3,0.5
ID_JUG_0015,Elmore Spencer,44.0,6.4,2.4,1.0,0.0,0.4,0.4,0.2,0.2,0.4,0.6
